Image index,image loading time,image preprocessing time,network inference time,image processing time,image overall time
686,0.02886176109313965,0.01271677017211914,0.005478382110595703,0.018272876739501953,0.04955649375915527
687,0.027274370193481445,0.011297464370727539,0.005387544631958008,0.016761064529418945,0.04590606689453125
688,0.02692699432373047,0.011237382888793945,0.0054819583892822266,0.01679682731628418,0.04558420181274414
689,0.02695918083190918,0.011219024658203125,0.005395650863647461,0.01669001579284668,0.04563450813293457
690,0.02613210678100586,0.011237144470214844,0.005420207977294922,0.01673293113708496,0.04473400115966797
691,0.029593467712402344,0.011688709259033203,0.005394458770751953,0.017159700393676758,0.048636674880981445
692,0.02682948112487793,0.011153697967529297,0.005495548248291016,0.016726016998291016,0.04548454284667969
693,0.026762723922729492,0.011232376098632812,0.005468606948852539,0.01677680015563965,0.04540562629699707
694,0.026387691497802734,0.011600732803344727,0.00545048713684082,0.01712799072265625,0.045435428619384766
695,0.025777816772460938,0.011232376098632812,0.005434513092041016,0.01674342155456543,0.04437994956970215
696,0.026505470275878906,0.011238813400268555,0.005480051040649414,0.01679706573486328,0.04525613784790039
697,0.02915668487548828,0.011708974838256836,0.0054111480712890625,0.017196178436279297,0.04842019081115723
698,0.026826858520507812,0.011272907257080078,0.005375385284423828,0.016724109649658203,0.04542231559753418
699,0.026993274688720703,0.011170387268066406,0.005514860153198242,0.01676177978515625,0.04570126533508301
700,0.027296066284179688,0.011606454849243164,0.005405426025390625,0.017087459564208984,0.046300649642944336
701,0.02646493911743164,0.011167526245117188,0.005430698394775391,0.01667499542236328,0.04510760307312012
702,0.02632451057434082,0.011252880096435547,0.005435466766357422,0.016767263412475586,0.045098066329956055
703,0.026824474334716797,0.011634111404418945,0.005431652069091797,0.017141103744506836,0.045873165130615234
704,0.029424667358398438,0.012723445892333984,0.005414724349975586,0.01821303367614746,0.0502314567565918
705,0.027493000030517578,0.01154184341430664,0.005533933639526367,0.01715254783630371,0.04647946357727051
706,0.02786564826965332,0.011546611785888672,0.005396604537963867,0.017020225524902344,0.04674720764160156
707,0.027602195739746094,0.011918306350708008,0.005480289459228516,0.017473459243774414,0.04704141616821289
708,0.034018516540527344,0.014710664749145508,0.00540471076965332,0.020192861557006836,0.056580305099487305
709,0.026855945587158203,0.011309623718261719,0.005467653274536133,0.01685476303100586,0.045572757720947266
710,0.026476383209228516,0.011213541030883789,0.005420207977294922,0.016710281372070312,0.045137643814086914
711,0.028575420379638672,0.011265277862548828,0.005479097366333008,0.016820907592773438,0.0473330020904541
712,0.030886411666870117,0.012684822082519531,0.005432605743408203,0.01819443702697754,0.05123400688171387
713,0.03160905838012695,0.013157367706298828,0.005414247512817383,0.018648147583007812,0.052458763122558594
714,0.03298354148864746,0.01362299919128418,0.005380868911743164,0.01908111572265625,0.0544276237487793
715,0.019994020462036133,0.007203102111816406,0.005410671234130859,0.012689590454101562,0.03392219543457031
716,0.13120579719543457,0.07108926773071289,0.005387306213378906,0.07655453681945801,0.21661782264709473
717,0.13235688209533691,0.0637216567993164,0.005411863327026367,0.06925487518310547,0.2102828025817871
718,0.152756929397583,0.06888389587402344,0.005464315414428711,0.07442617416381836,0.2378091812133789
719,0.15848636627197266,0.07082128524780273,0.0054094791412353516,0.07630753517150879,0.245833158493042
720,0.17995095252990723,0.09241724014282227,0.005402326583862305,0.09789633750915527,0.2904369831085205
721,0.2143254280090332,0.10783123970031738,0.005489826202392578,0.11339783668518066,0.34266185760498047
722,0.1606156826019287,0.0697779655456543,0.005457162857055664,0.07531237602233887,0.24746417999267578
723,0.13595271110534668,0.0818631649017334,0.005389213562011719,0.08732819557189941,0.24261140823364258
724,0.09569811820983887,0.038312435150146484,0.005484342575073242,0.04387378692626953,0.1463477611541748
725,0.15544819831848145,0.06622648239135742,0.005418062210083008,0.07172179222106934,0.2374861240386963
726,0.12174010276794434,0.04733896255493164,0.005527019500732422,0.052942752838134766,0.18253064155578613
727,0.10247278213500977,0.05563044548034668,0.005427837371826172,0.061133623123168945,0.17910408973693848
728,0.11163616180419922,0.04742741584777832,0.005555152893066406,0.05305790901184082,0.1727924346923828
729,0.19969677925109863,0.09066271781921387,0.00537872314453125,0.09611773490905762,0.3102424144744873
730,0.11090302467346191,0.04926109313964844,0.005438089370727539,0.05477499961853027,0.17302703857421875
731,0.13362336158752441,0.05742383003234863,0.00551915168762207,0.0630195140838623,0.2045764923095703
732,0.07943153381347656,0.03335285186767578,0.005359649658203125,0.03878974914550781,0.12270379066467285
733,0.14188408851623535,0.054666996002197266,0.005419731140136719,0.060163021087646484,0.21039772033691406
734,0.2571728229522705,0.1307084560394287,0.005407810211181641,0.13619184494018555,0.41331052780151367
735,0.1573193073272705,0.06121969223022461,0.005400419235229492,0.0666959285736084,0.2350602149963379
736,0.10539793968200684,0.041184425354003906,0.0054132938385009766,0.04667305946350098,0.15980029106140137
737,0.08812499046325684,0.035477399826049805,0.005434274673461914,0.04098701477050781,0.1362900733947754
738,0.14804339408874512,0.05599784851074219,0.005388736724853516,0.0614628791809082,0.22053003311157227
739,0.11581087112426758,0.046350717544555664,0.0053708553314208984,0.05179738998413086,0.175950288772583
740,0.15821623802185059,0.06279253959655762,0.005486249923706055,0.06835532188415527,0.23807954788208008
741,0.16799068450927734,0.06628036499023438,0.005482673645019531,0.07183957099914551,0.25173258781433105
742,0.06391668319702148,0.025651931762695312,0.0054514408111572266,0.031178951263427734,0.09952449798583984
743,0.21842312812805176,0.08615589141845703,0.005403280258178711,0.09163784980773926,0.32521891593933105
744,0.11248898506164551,0.04720139503479004,0.005365133285522461,0.052643537521362305,0.17335271835327148
745,0.30733728408813477,0.15567469596862793,0.005456686019897461,0.1612086296081543,0.49575352668762207
746,0.17817950248718262,0.06648683547973633,0.0053675174713134766,0.07193255424499512,0.26286745071411133
747,0.21085882186889648,0.0829010009765625,0.005467891693115234,0.08844423294067383,0.31452107429504395
748,0.18993258476257324,0.08963775634765625,0.005386829376220703,0.09510016441345215,0.2987987995147705
749,0.22145605087280273,0.11616945266723633,0.00542759895324707,0.1216733455657959,0.35919761657714844
750,0.23006629943847656,0.1097710132598877,0.005467653274536133,0.11531472206115723,0.36233973503112793
751,0.11617898941040039,0.05725669860839844,0.005579948425292969,0.06291365623474121,0.20479059219360352
752,0.07197856903076172,0.02996087074279785,0.005377531051635742,0.03541374206542969,0.11264920234680176
753,0.19602632522583008,0.11246299743652344,0.005378007888793945,0.11791825294494629,0.3278071880340576
754,0.1021735668182373,0.03988027572631836,0.005568504333496094,0.04552435874938965,0.15540146827697754
755,0.21678781509399414,0.08473920822143555,0.005452156066894531,0.09026646614074707,0.32285642623901367
756,0.1895289421081543,0.06969428062438965,0.0075359344482421875,0.07730531692504883,0.28130340576171875
757,0.21651744842529297,0.0798335075378418,0.005372285842895508,0.0852804183959961,0.3176288604736328
758,0.14876222610473633,0.062467336654663086,0.005425930023193359,0.06796908378601074,0.22774648666381836
759,0.22330760955810547,0.08213138580322266,0.0053806304931640625,0.08758926391601562,0.3315696716308594
760,0.07646584510803223,0.03861188888549805,0.0054242610931396484,0.04411125183105469,0.14060258865356445
761,0.08311009407043457,0.03889775276184082,0.00549769401550293,0.044470787048339844,0.13378334045410156
762,0.15239930152893066,0.07203888893127441,0.005364894866943359,0.07748150825500488,0.24067163467407227
763,0.11158609390258789,0.04371809959411621,0.005416393280029297,0.0492098331451416,0.1695857048034668
764,0.18938469886779785,0.07772660255432129,0.005376338958740234,0.08318042755126953,0.2844860553741455
765,0.12488770484924316,0.047951698303222656,0.009219884872436523,0.05724906921386719,0.18953227996826172
766,0.14049673080444336,0.07275819778442383,0.0054280757904052734,0.0782630443572998,0.22641825675964355
767,0.14092540740966797,0.07251238822937012,0.005424022674560547,0.07801151275634766,0.22650599479675293
768,0.16081857681274414,0.07922482490539551,0.005468845367431641,0.08476996421813965,0.25392651557922363
769,0.16249346733093262,0.0619962215423584,0.005511045455932617,0.06758308410644531,0.24019384384155273
770,0.1956791877746582,0.07166790962219238,0.005379676818847656,0.07712364196777344,0.2863492965698242
771,0.13461709022521973,0.05206632614135742,0.005378007888793945,0.05752134323120117,0.1992039680480957
772,0.12330460548400879,0.047908782958984375,0.005402803421020508,0.053388357162475586,0.18550586700439453
773,0.13170695304870605,0.05207633972167969,0.005460500717163086,0.05761361122131348,0.19656133651733398
774,0.13361549377441406,0.05669832229614258,0.005381107330322266,0.06215548515319824,0.20290732383728027
775,0.07631087303161621,0.03079986572265625,0.005370140075683594,0.03624749183654785,0.1185770034790039
776,0.14342355728149414,0.055732011795043945,0.005362272262573242,0.0611727237701416,0.21221280097961426
777,0.1492631435394287,0.057366132736206055,0.005429267883300781,0.06287240982055664,0.22231483459472656
778,0.27156782150268555,0.14373326301574707,0.005429506301879883,0.14930295944213867,0.4398796558380127
779,0.19948768615722656,0.08869433403015137,0.00540924072265625,0.09417915344238281,0.3065521717071533
780,0.19634699821472168,0.07767033576965332,0.005405426025390625,0.08315086364746094,0.2929503917694092
781,0.1697216033935547,0.0639350414276123,0.005395412445068359,0.06940674781799316,0.25062036514282227
782,0.25571537017822266,0.09908843040466309,0.005455732345581055,0.10462093353271484,0.3781003952026367
